text,heading,chemicals
"Ni- and Co-based catalysts with added Fe demonstrate promising activity in the oxygen evolution reaction (OER) during alkaline water electrolysis, with the presence of Fe in a certain quantity being crucial for their enhanced performance. The mode of incorporation, local placement, and structure of Fe ions in the host catalyst, as well as their direct/indirect contribution to enhancing the OER activity, remain under active investigation. Herein, the mechanism of Fe incorporation into a Co-based host was investigated using an in situ synthesized Co–Fe catalyst in an alkaline electrolyte containing Co2+ and Fe3+. Fe was found to be uniformly incorporated, which occurs solely after the anodic deposition of the Co host structure and results in exceptional OER activity with an overpotential of 319 mV at 10 mA cm–2 and a Tafel slope of 28.3 mV dec–1. Studies on the lattice structure, chemical oxidation states, and mass changes indicated that Fe is incorporated into the Co host structure by replacing the Co3+ sites with Fe3+ from the electrolyte. Operando Raman measurements revealed that the presence of doped Fe in the Co host structure reduces the transition potential of the in situ Co–Fe catalyst to the OER-active phase CoO2. The findings of our facile synthesis of highly active and stable Co–Fe particle catalysts provide a comprehensive understanding of the role of Fe in Co-based electrocatalysts, covering aspects that include the incorporation mode, local structure, placement, and mechanistic role in enhancing the OER activity",abstract,"Ni, Co, Fe, oxygen, Co–Fe "
"In alkaline water electrolysis, the oxygen evolution reaction (OER) is a sluggish multistep reaction involving four electrons that results in a considerable anode activation polarization. First-row transition metals such as Ni and Co have been demonstrated as promising candidates due to their low cost, abundance, and high OER catalytic activity in alkaline conditions. (1?4) The presence of Fe in the structure has been reported to play a crucial role in enhancing the OER activity of Ni- and Co-based catalysts, regardless of their structure, for example, Ba0.5Sr0.5Co0.2Fe0.2O3?? (BSCF) of the perovskite family, (5) Co3–xFexO4 with spinel structure, (6) or Ni0.75Fe0.25OOH (7) and Co0.46Fe0.54OOH (8) of the layer-structure-type catalysts.",introduction,"oxygen, Ni, Co, Co3–xFexO4, Ni0.75Fe0.25OOH, Co0.46Fe0.54OOH "
"Extensive research has been conducted on the mechanism of Fe incorporation into Ni- and Co-based catalysts and its role in enhancing the OER activity. Conventionally, Fe is intentionally doped in the Ni and Co catalysts during the synthesis step by adjusting the composition of the precursor solution for wet chemical routes (9,10) or that of the electrolyte bath for electrodeposition. (8,11) Trotochaud et al. utilized grazing-incidence X-ray diffraction (GIXRD) to confirm that the cathodically deposited Ni0.75Fe0.25(OH)2 aged thin films in commercial KOH have a layered double hydroxide structure of Ni–Fe fougèrites. (12) These minerals featured an extended c-axis compared to ?-Ni(OH)2. The lattice change was attributed to the substitution of Ni2+ ions by Fe3+, resulting in an increased concentration of intercalated anions. Furthermore, Friebel et al., using operando X-ray absorption spectroscopy (XAS), found that Fe3+ cations do not intercalate between the ?-NiOOH sheets at Fe concentrations inferior to 25%. (7) Instead, they tend to replace Ni3+ within a sheet due to the shorter Fe–O bond length in Ni1–xFexOOH compared to ?-FeOOH and similar to that of Ni–O. Computational calculations also indicated that Fe is the active site in Ni1–xFexOOH because it exhibits stronger adsorption of the OER intermediates compared to Ni. For the Co–Fe system, Burke et al. demonstrated that CoOOH provides an electrically conductive and stable host for the OER-active but poorly conductive FeOOH",introduction,"Fe, Ni, Co,  Ni0.75Fe0.25(OH)2, KOH, Ni–Fe, ?-Ni(OH)2, ?-NiOOH, Ni1–xFexOOH, ?-FeOOH, Ni–O, CoOOH, FeOOH"
"Recently, an electrochemical approach using cyclic voltammetry (CV) in a Fe-containing electrolyte has been reported as an efficient way for adding Fe into Ni- and Co-based catalysts. (13,14) Compared to the cathodic codeposition of the bulk Ni–Fe or Co–Fe catalyst, the incorporation of Fe directly via the OER alkaline electrolyte is usually termed incidental doping or Fe spiking. For this method, many studies have agreed that the addition of Fe in the catalyst structure is an irreversible process, as confirmed by Fe detection in the final catalyst. Deng et al. have shown, using operando atomic force microscopy (AFM), that exfoliated Ni(OH)2 transforms into NiOOH nanoparticles with a high surface area upon anodic oxidation, with FeOOH deposited as a separate phase in this porous structure. (15) For Co-based catalysts spiked with Fe, Zhang et al. have demonstrated that intentional Fe incorporation has a stronger interaction with the CoOOH sheet compared to incidental Fe ions, which mainly localize at the edge of the hexagonal sheet and do not incorporate into the bulk structure, by analyzing their electrochemical profile. (16) However, the lattice-scale structural modifications of the Ni- and Co-based catalysts induced by Fe have not been “visualized”, and the role of Fe in enhancing the OER activity remains elusive.",introduction,"Ni(OH)2, NiOOH, FeOOH, Co, Fe, CoOOH, Ni, Co"
"The electrolyte was diluted from 50% potassium hydroxide (KOH, Carl Roth) with deionized water in order to obtain a 1 M KOH solution. To remove Fe contamination from the commercial KOH, (7,12,14) the electrolyte was treated with nickel(II) hydroxide (Ni(OH)2, Fluka). A 1 g portion of Ni(OH)2 was added to 1 L of 1 M KOH, and the solution was stirred overnight. After the sedimentation of Ni(OH)2, the top solution was decanted and filtered through filter paper (Cytiva).",methodology,"potassium hydroxide, KOH, nickel(II) hydroxide, Ni(OH)2, Ni(OH)2"
"Neutral and acidic electrolytes were also prepared at a concentration of 1 M from potassium nitrate (KNO3, Alfa Aesar) and 65% nitric acid (HNO3, Sigma-Aldrich), respectively.",methodology,"potassium nitrate, KNO3, nitric acid, HNO3"
"Different nitrate salts were prepared for the addition to the treated KOH electrolyte. Cobalt(II) nitrate hexahydrate (Co(NO3)2·6H2O, Sigma-Aldrich), iron(III) nitrate nonahydrate (Fe(NO3)3·9H2O, Sigma-Aldrich), copper(II) nitrate trihydrate (Cu(NO3)2·3H2O, Sigma-Aldrich), nickel(II) nitrate hexahydrate (Ni(NO3)2·6H2O, Sigma-Aldrich), and silver nitrate (AgNO3, Sigma-Aldrich) were prepared as 0.05 M solutions.",methodology,"KOH, Cobalt(II) nitrate hexahydrate, Co(NO3)2·6H2O, iron(III) nitrate nonahydrate, Fe(NO3)3·9H2O, copper(II) nitrate trihydrate (Cu(NO3)2·3H2O, nickel(II) nitrate hexahydrate, Ni(NO3)2·6H2O, silver nitrate, AgNO3"
"For the activity test, the glassy carbon rotating disk electrode (GC-RDE) was polished with sandpaper of two different grit numbers, first with P500 and then with P1000 (VSM). After being rinsed thoroughly, the GC-RDE was polished again with a 0.05 ?m polishing alumina suspension (BASi) on a polishing cloth (MicroCloth, Buehler). The RDE was rinsed again with Milli-Q-grade water and dried in air. The reference was a Ag/AgCl electrode, and the counter electrode was a Pt spring. Before use, the Pt counter electrode was soaked in HNO3 25%, and then a blowtorch flame was applied to remove all contaminants or depositions from previous electrochemical reactions. Reference catalysts (IrO2||C and RuO2||C) were prepared by adding 10 mg of oxide catalysts (IrO2 (Sigma-Aldrich) or RuO2 (Sigma-Aldrich)), 15 mg of carbon black (Vulcan XC 72R, Fuel Cell Store), and 40 ?L of Nafion (Nafion 117 containing solution, Sigma-Aldrich) into 1 mL of isopropanol. The mixture was then sonicated and drop-cast onto the GC-RDE with a surface loading of 0.3 mg cm–2 of oxide catalyst, 0.45 mg cm–2 of carbon black, and 0.06 mg cm–2 of Nafion.",methodology,"Ag, AgCl, Pt, HNO3, IrO2||C, RuO2||C, oxide catalysts, IrO2, RuO2, isopropanol, carbon black, Nafion."
"For surface characterization, glassy carbon plates (Sigradur, HTW) and carbon papers (Toray, Alfa Aesar, and Sigracet 29 AA, FuelCellStore) were used. The electrochemical measurements were performed in an H-cell, which was composed of two compartments separated by a Nafion membrane. The working electrode was positioned close to the magnetic bar to reduce the effect of mass transport",methodology,"carbon, Nafion "
"A potentiostat (Metrohm Autolab PGSTAT204) was used for the electrochemical measurements. CV was performed with the conventional three-electrode chemical setup in 1 M KOH, with a pH of 14. We note that interaction between Co- and Ni-based catalysts and Fe contamination in commercial KOH was previously reported in many works. (7,12,14) Thus, to avoid crossover effects created by the added Co(NO3)2·6H2O and Fe contamination in commercial KOH solution, the KOH used in this work, denoted as Fe-free KOH, was treated with Ni(OH)2. After treatment, the amount of Fe in commercial KOH was reduced from 55 to 5 ppb (Table S1)",methodology,"KOH, Co, Ni, Fe, Co(NO3)2·6H2O, KOH, Ni(OH)2"
"Next, the potential was swept from 1.0 to 1.7 V, then back to 1.0 V vs the reversible hydrogen electrode (RHE) with a scan rate of 10 mV s–1. A rotating disk electrode system (RRDE-3A, ALS) was used to thoroughly degas the electrode surface during the CV cycle. The rotating speed of the RDE was fixed at 1600 rpm. The electrochemically active surface area (ECSA) was estimated by performing CV cycles in a non-faradaic region over an interval of 100 mV at 9 scan rates: 10, 25, 50, 75, 100, 150, 200, 300, and 400 mV s–1. The charging current, ic, is related to the scan rate, ?, following the equation ??c=??dl×??. The ECSA is proportional to the double-layer capacitance, Cdl, by Cs–1, in which Cs is the specific capacitance of the sample:ECSA=??dl×??s?1 The typical value of Cs of a metal electrode in NaOH is reported to be 0.040 mF cm–2. (1,18) The unit of the ECSA is cm2",methodology,NaOH
"We further investigated the influence of pH on the in situ synthesis of the CoFe-based catalysts through CP activation in acidic and neutral environments. A constant current density of 20 mA cm–2 was first applied for 600 s on the GC electrode in KNO3–CoFe, followed by 10 CV cycles in 1 M Fe-free KOH. No activity enhancement was observed for the neutral solution (Figure S9a). Correspondingly, no particle deposition (or other change) was noticed on the carbon surface after the activation in neutral medium except for the residual salt (Figure S9b). An activation process in 1 M HNO3, similarly, did not modify the OER activity of the GC electrode (Figure S10), demonstrating that the deposition occurs only in an alkaline solution.",result and discussion,"CoFe, Fe, KOH, HNO3"
"Transition metal phosphides have shown promise as catalysts for water splitting and hydrotreating, especially when a small amount of sulfur is incorporated into the phosphides. However, the effect of sulfur on catalysis is not well understood. In part, this is because conventional preparation methods of sulfur-doped transition metal phosphides lead to sulfur both inside and at the surface of the material. Here, we present an alternative method of modifying cobalt phosphide (CoP) with sulfur using molecular S-transfer reagents, namely, phosphine sulfides (SPR3). SPR3 added sulfur to the surface of CoP and using a series of SPR3 reagents having different P?S bond strengths enabled control over the amount and type of sulfur transferred. Our results show that there is a distribution of different sulfur sites possible on the CoP surface with S-binding strengths in the range of 69 to 84 kcal/mol. This provides fundamental information on how sulfur binds to an amorphous CoP surface and provides a basis to assess how number and type of sulfur on CoP influences catalysis. For the catalytic hydrogenation of cinnamaldehyde, intermediate amounts of sulfur with intermediate binding strengths at the surface of CoP were optimal. With some but not too much sulfur, CoP exhibited a higher hydrogenation productivity and a decreased formation of secondary reaction products. Our work provides important insight into the S-effect on the catalysis by transition metal phosphides and opens new avenues for catalyst design.",abstract,"phosphides, sulfur, cobalt phosphide, CoP, phosphine sulfides, SPR3, cinnamaldehyde"
"Due to their promising catalytic properties for water splitting and hydrodesulfurization, transition metal phosphides are being discussed as potential earth-abundant replacements for the conventional noble-metal-based catalysts. (1?6) Key to an actual implementation of transition metal phosphides in catalytic applications is to optimize their properties for catalysis. Two very successful optimization approaches involve the doping of transition metal phosphides with foreign elements or the direct preparation of composite materials containing multiple elements. (3,7,8) For instance, transition metal phosphides that incorporate a small amount of sulfur have shown higher electrocatalytic activity and stability in the hydrogen evolution reaction (HER) compared to the pristine phosphides. (9?17) A similar sulfur effect has been observed in hydrodesulfurization applications: During hydrodesulfurization the transition metal phosphides are in situ sulfided by H2S and form phosphosulfides at the surface. (18?21) It has been proposed that the phosphosulfide surfaces are the catalytically relevant surfaces and that sulfur enhances the catalytic activity as part of the catalytically active sites. (22?28) The promoting effect of sulfur on activity or selectivity has also been noted for other heterogeneous catalysts. (29) These literature reports highlight the potential of using sulfur to modify transition metal phosphides for improved catalytic properties.",introduction,"phosphides, sulfur, H2S, phosphosulfides"
"The promoting effect of sulfur on the catalysis of transition metal phosphides has variously been attributed to the formation of new or modified active sites that incorporate S at the surface, (9,11,18?20,22,24) optimized binding energies of hydrogen at the surface, (10,12,13,15?17,30) improved electronic properties that facilitate charge transfer, (12?15,17,30) increased surface areas, (12,14) or higher number of active sites. (13,14) However, some studies suggest that sulfur can also act as a poison on transition metal phosphide hydrodesulfurization catalysts. (31?33) Overall, the sulfur effect in (electro)catalysis is not well understood. In part, this is likely because conventional approaches to prepare S-doped transition metal phosphides or metal,P,S-composite materials do not target the preparation of specific S-sites. The synthesis of such materials typically includes solid–gas reactions of material precursors with in situ formed PH3(g) and H2S(g) or, alternatively, the mixing and heating of metal-, P-, and S-precursors at elevated temperatures. (5,9,10,12,13,17,30,34?36) By these methods, sulfur can be incorporated with a wide range of chemical environments and both inside the material and on the surface. It is therefore challenging to experimentally distinguish between bulk and surface effects of sulfur in catalysis or to attribute any observed sulfur effect to a specific active site. To understand how sulfur modifies the properties and reactivity of transition metal phosphides, computational approaches have hence often been used. (10,11,13?16,19,30,36) However, such theoretical approaches usually need to be performed on crystalline facet models, which have limited relevance with respect to the typically amorphous surfaces of heterogeneous catalysts under experimental conditions. (37?40)",introduction,"sulfur, phosphides, S, hydrogen, PH3, H2S"
"The stereoselective total synthesis of the proposed structure of a potent serotonin 5-HT1A receptor agonist uncarialin A (1) is described. By employing the readily available meroquinene tert-butyl ester as the chiral synthon, the target structure has been prepared in a six-step linear sequence with a 17% overall yield. In comparison to the sample isolated from natural sources, the synthetic product shows significant spectral differences, strongly suggesting that the structure of the natural product should be revised",abstract,"uncarialin,meroquinene tert-butyl ester"
"Uncarialin A (1) is a monoterpenoid indole alkaloid isolated from dried hooks of Uncaria rhynchophylla and first published in 2019 by Ma and co-workers (Figure 1). (1) It exhibits a noticeable activity on the serotonin 5-HT1A receptor, which is considered as one of the molecular targets in Parkinson’s disease prevention. (2) Besides that, a more recent report by Yun et al. revealed the inhibition effect of uncarialin A (1) on voltage-dependent L-type calcium channels at low micromolar concentrations, suggesting potential applications in the treatment of cardiovascular diseases. (3) Structurally, uncarialin A (1) differs from the previously known Corynanthe indole alkaloids (4) with a unique 3R,15R, 20R stereochemistry of the chiral centers. It has the opposite absolute stereochemistry at all chiral centers of the widely studied natural product corynantheidine (2) (5) and its methoxy analogue mitragynine (3). (6) These natural products are found in the Southeast Asian plant Mitragyna speciosa commonly known as kratom and are known to be potent opioid receptor antagonists. (7) The intriguing biological activity profile in combination with this unusual absolute stereochemistry makes uncarialin A (1) an attractive target from both the medicinal and synthetic chemistry point of view.",NA,"Uncarialin A, monoterpenoid, indole, alkaloid, calcium, corynantheidine, methoxy, mitragynine"
"Herein, we report the first total synthesis of the proposed structure of uncarialin A (1) starting from a readily available natural product quinine. Our retrosynthetic analysis is outlined in Scheme 1. The introduction of the labile vinyl ether moiety at the C16 position was planned as the last step of the synthesis. For the assembling of the octahydroindoloquinolizine core, an alkylation followed by Hg-mediated cyclization (8) was envisioned, leading to the key building block of the total synthesis?the (+)-meroquininene ester 5. This building block 5 is known to be one of the products of the oxidation of quinine.",NA,"uncarialin A, quinine, vinyl ether, octahydroindoloquinolizine, Hg, (+)-meroquininene ester, quinine."
"We began our total synthesis of the proposed structure of uncarialin A (1) with the autoxidation of quinine (Scheme 2). This transformation is known from the pioneering studies by Woodward (9) and Chanley; (10) since then, a convenient two-step protocol (11) has been developed, allowing the tert-butyl ester of meroquinene 6 to be obtained in gram-quantities in a single run. The intermediate 6 was further alkylated with the commercially available 3-(2-bromoethyl)indole giving the cyclization precursor 7 in 86% yield. Pd-catalyzed hydrogenation of the double bond followed by the Fujii oxidative cyclization (12) furnished the desired octahydroindoloquinolizine 8 as a single diastereomer. At this stage, the tert-butyl ester group was transesterified to the corresponding methyl ester by treating the intermediate 8 with methanolic HCl. With an appropriate ester 9 in hand, we turned our attention toward the completion of our total synthesis. Employing the 2-step protocol reported by Cook and co-workers (13) for the total synthesis of (?) corynantheidine (2), the target structure 1 was successfully prepared as a mixture of double-bond isomers. First, the ester 9 was deprotonated with LDA, and the formed enolate treated with an excess of ethyl formate giving the intermediate ?-dicarbonyl, which was further methylated with Me2SO4. The resulting double-bond isomers were separated by column chromatography furnishing the target uncarialin A (E-1) proposed structure in 32% yield over two steps along with its Z- double-bond isomer Z-1.",NA,"uncarialin A (1), quinine, tert-butyl ester, meroquinene , 3-(2-bromoethyl)indole, Pd, octahydroindoloquinolizine, tert-butyl ester, methanolic HCl, ester, (?) corynantheidine (2), LDA, ethyl formate, ?-dicarbonyl, Me2SO4. "
"All reactions were performed under an atmosphere of argon unless otherwise indicated. Reagents and starting materials were obtained from commercial sources and used as received. The solvents were purified and dried by standard procedures prior to use; petroleum ether of boiling range 60–80 °C was used. Flash chromatography was carried out using Merck Kieselgel (230–400 mesh). NMR spectra were recorded on Bruker Avance Neo (400 MHz) and Bruker Fourier (300 MHz) spectrometers. Chemical shift values are referenced against residual protons in the deuterated solvents, multiplicity (s = singlet, d = doublet, t = triplet, q = quartet, m = multiplet, br = broad). Structural assignments were made with additional information from gHSQC, gNOESY, and gHMBC experiments. Infrared spectra were recorded in the range of 4000–500 cm–1 for samples prepared as a film. HRMS results were obtained on a Micromass AutoSpec Ultima Magnetic sector mass spectrometer (TOF). Optical rotations were measured using a PerkinElmer 141 polarimeter.",Experimental Section,"argon, petroleum ether, deuterated solvents"
"An MW tube was charged with meroquinene tert-butyl ester 6 (11) (800 mg, 3.550 mmol, 1 equiv), 3-(2-bromoethyl)indole (1.591 g, 7.101 mmol, 2 equiv), and Na2CO3 (dried under vacuum for 6 h at 250 °C, 723 mg, 7.191 mmol, 2 equiv) in dry DMF (10 mL); tightly sealed; and heated for 16 h at 80 °C (oil bath) under Ar atmosphere. After cooling to room temperature, the reaction mixture was partitioned between DCM (20 mL) and water (20 mL). The organic layer was separated, and the aqueous layer extracted with DCM (2 × 20 mL). The combined organic extracts were dried over Na2SO4, filtered, and evaporated. The oily residue was purified by column chromatography (eluent: Petroleum ether: EtOAc 70:30 ? 10:90). The title compound was isolated as pale yellow oil (1.120 g, 86%)",Experimental Section,"meroquinene tert-butyl ester, 3-(2-bromoethyl)indole, Na2CO3, DMF, DCM, Na2SO4"
"7 (300 mg, 0.8141 mmol, 1 equiv) was dissolved in EtOH (10 mL), and Pd/C 10% (9 mg, 0.081 mmol, 10 mol %) was carefully added. After that, the reaction flask was then purged with hydrogen (balloon) three times, and the reaction was stirred for 16 h at room temperature. The catalyst was filtered off, and the solvent was evaporated. The oily residue was then dissolved in EtOH (12 mL) and added to a stirred slurry containing Hg(OAc)2 (779 mg, 2.445 mmol, 3 equiv) and disodium ethylenediaminetetraacetate trihydrate (954 mg, 2.445 mmol, 3 equiv) in H2O (24 mL). The resulting mixture was refluxed (oil bath) for 3 h and then cooled in an ice bath. After that, aqueous ammonia (37% in water) was added until pH ?9 and followed by NaBH4 (308 mg, 8.151 mmol, 10 equiv). Then the mixture was allowed to reach ambient temperature and stirred for an additional 2 h. (Caution: During the reduction step small drops of mercury are forming. Special care should be taken in order to separate the organic extract in the following steps, and the aqueous waste should be disposed of appropriately.) DCM (?50 mL) was added to the reaction mixture, the organic layer separated, and the aqueous layer extracted with DCM (2 × 20 mL). The combined organic extracts were dried over Na2SO4, filtered, and evaporated. The oily residue was purified by column chromatography (eluent: Petroleum ether: EtOAc 70:30 ? 30:70). The title compound was isolated as pale yellow sticky foam (207 mg, 69% in 2 steps).",Experimental Section,"EtOH, Pd/C, hydrogen, Hg(OAc)2, disodium ethylenediaminetetraacetate trihydrate, H2O, ammonia, NaBH4, Na2SO4, Petroleum ethe"
"To a stirred solution of 8 (200 mg, 0.543 mmol, 1 equiv) in MeOH (3 mL) was added 4 M HCl solution in dioxane (0.335 mL, 10.855 mmol, 20 equiv). The resulting mixture was stirred for 1 week at room temperature and evaporated. The oily residue was partitioned between DCM (10 mL) and saturated aqueous NaHCO3 (10 mL). The organic layer was separated, and the aqueous layer was extracted with DCM (2 × 20 mL). The combined organic extracts were dried over Na2SO4, filtered, and evaporated. The oily residue was purified by column chromatography (eluent: Petroleum ether: EtOAc 70:30 ? 50:50). The title compound was isolated as a pale yellow sticky foam (160 mg, 90%).",Experimental Section,"MeOH, HCl, dioxane, DCM, NaHCO3, Na2SO4, Petroleum ether"
"Here we report the first asymmetric synthesis of large chiral macrocycles with chiral sulfur atoms. Building on stereospecific SuFEx and SuPhenEx click chemistries, this approach utilizes disulfonimidoyl fluorides and disulfonimidoyl p-nitrophenolates?which are efficient building blocks with two chiral sulfur centers, and diphenols to efficiently form novel S–O bonds. Characteristic results include the enantiospecific one-step synthesis of rings consisting of 21–58 members and characterization of both enantiomers (R,R and S,S) by e.g. X-ray crystallography.",abstract,"sulfur, disulfonimidoyl fluorides, disulfonimidoyl p-nitrophenolates"
"Macrocycles, typically having 12 or more ring atoms, are noteworthy due to their distinct molecular structure and properties (1) resulting in a vast range of applications, especially in the areas of supramolecular chemistry (2) and drug design. (3) Their ability to bind specifically to target molecules makes them useful as highly selective and specific host molecules and therapeutic agents. (4) Since 2013 more than 25 macrocyclic drugs have been approved for clinical use, for a wide range of illnesses, stressing the need for additional methods to construct such macrocycles. (5) However, the synthesis of large macrocycles is often highly challenging, typically involves complex multistep syntheses, and often requires precise control over the reaction conditions. (1,3c,6) In some cases this synthetic challenge can be overcome by a kinetically or thermodynamically preferred cyclization product, such as in the case of pillararenes. (7) While, of course, these products can be varied in structure as well, (8) such variation often comes at the price of more complicated syntheses. In combination with the formation of byproducts and solubility issues, the formation of large macrocycles is typically difficult to scale up.",introduction,pillararenes
"We initiated our investigation by examining N?,N?-terephthaloyl-bis-sulfonimidoyl fluoride (1a) and 4,4?-disulfanediyldiphenol (2a) as model substrates using DBU as base and DMF as solvent (as shown in Table 1; all yields are isolated yields). When the reaction temperature was decreased from 80 to 50 °C, a significant improvement in the yield of the macrocyclic product was observed. Our findings also revealed that as the reaction concentration decreased, the yields of the macrocycles increased. Moreover, when we switched the solvent to acetonitrile, a maximum macrocycle yield of 96% was achieved. Thus, the optimal conditions were found to be the stirring of 1a (1 equiv) with 2a (1 equiv), and DBU (2.1 equiv), in ACN at 50 °C for 3 h (Table 1, entry 6). The structure of product 3a was determined by NMR spectroscopic analyses and X-ray crystallography to confirm the formation of the macrocycles (see Supporting Information, Figures S21–22 and S188–189).",result and discussion,"N?,N?-terephthaloyl-bis-sulfonimidoyl fluoride, 4,4?-disulfanediyldiphenol, DBU, DMF, acetonitrile,  ACN"
"With the optimized conditions in hand, the scope of the reaction was explored with 1a and a variety of diphenols. The corresponding macrocyclic products 3a–h were isolated in good to excellent yields (67–96%; Figure 2). While the compatibility with disulfide (3a) or ether (3d) moieties was to be expected based on past experience, it is worth noting that diphenols with secondary amine groups also reacted well in these macrocyclic SuFEx reactions. Even though secondary amines have been reported to be able to react in high yields with sulfonimidoyl fluorides, (15f) our cyclizations yielded only phenol-based products 3e and 3f, and in high yields. Furthermore, increased flexibility of the diphenol precursors and the ensuing increased ring sizes are well tolerated, and even macrocycle 3h, which contains a flexible 30-atom ring, could be synthesized with an isolated yield of 62%.",result and discussion,"diphenols, disulfide, secondary amine, sulfonimidoyl fluorides, phenol"
We report the first synthesis of the complex amino acid labionin in a fully orthogonally protected and stereopure form. The structure?which incorporates five orthogonal protecting groups and three stereogenic centers?was assembled using two key synthetic steps: (1) a thia-Michael addition for installing the thioether bridge; (2) an electrophilic azidation for creating the central quaternary ?-amino acid carbon in a stereochemically pure form. This work is expected to enable the solid phase synthesis of both natural and synthetic analogues labyrinthopeptins.,abstract,"amino acid, labionin, quaternary ?-amino acid, carbon, labyrinthopeptins"
"Labyrinthopeptins constitute a class of ribosomally synthesized peptides discovered in 2010, that belong to the family of type III lantibiotics. (1) These lantipeptides incorporate the distinctive post-translationally modified amino acid labionin (Lab 1; Figure 1), which is a triamino triacid featuring an unusual central quaternary carbon. Structurally, Lab 1 can be described as a derivative of meso-lanthionine (Lan) (Figure 1) where the (S)-?-carbon is connected to a further amino acid through a methylene bridge.",NA,"Labyrinthopeptins, peptides, lantipeptides, amino acid, labionin, triamino triacid, carbon"
"Unlike lanthionine-containing peptides, labyrinthopeptins possess weak antibacterial activity. On the other hand, they display an antiviral activity in the low micromolar range especially against hRSV. (2) More interestingly, labyrinthopeptin A2 (LabyA2) (Figure 1) was found effective in animal pain models, showing excellent antiallodynic activity, although the actual mechanism of action is still unknown. (1) Since these compounds can be considered as potential novel drugs for the treatment of neuropathic pain, there is a strong need to perform structure–activity relationship (SAR) studies in order to identify key structural features important for their bioactivity.",NA,"lanthionine, peptides, labyrinthopeptins"
"First, the carboxylic acid group and the lactamic nitrogen of 6 were respectively protected as trimethylsilyl ethyl ester (6) and allyloxycarbonyl carbamate. (7) N-protected-pyroglutamate 8 was then submitted to efficient ?-methylenation by means of a two-steps sequence involving a C-4 enamination followed by a Hoffman’ s elimination. Enaminone 8 was obtained in high yields according to the previously reported procedure (8) by reaction with t-BuOCH(NMe2)2 (Bredereck’s reagent) at 75 °C in 1,2-dimethoxyethane. Although Young et al. reported DIBAL as reagent for carrying out the enaminone reduction, we had to choose a more selective reducing agent in order to avoid side reactions due to the presence of the allyloxycarbonyl group. We were delighted to find that by using NaBH(OAc)3 in the presence of AcOH we were able to obtain in high yields a diastereoisomeric mixture of amines 9 that, in turn, were efficiently converted into the desired ?-methylene lactam 4 by treatment with MeI followed by Et3N. (9)",NA,"carboxylic acid, nitrogen, trimethylsilyl ethyl este, allyloxycarbonyl carbamate, N-protected-pyroglutamate, ?-methylenation, Enaminone, t-BuOCH(NMe2)2, Bredereck’s reagent, 1,2-dimethoxyethane, allyloxycarbonyl, NaBH(OAc)3, AcOH, ?-methylene lactam, Et3N"
"We next turned our attention to the synthesis of the second fully protected chiral building block, the (R)-cysteine derivative 12. Two additional masking groups had to be selected for the future chemoselective manipulation: a Fmoc group for the transient protection of the amino function and a cumyl ester for the carboxylic moiety. Cumyl ester was chosen because of its mild removal conditions (2% vol of TFA in DCM) which fulfills the requirement of orthogonality to the other protecting groups (6) (Scheme 3).",NA,"(R)-cysteine, Fmoc, amino, cumyl ester, carboxylic"
"Accordingly, orthogonally protected (R)-cysteine 12 was obtained in excellent yields, starting from commercially available bis-Fmoc-l-cystine. The procedure involved esterification of the carboxylic acid of 10 with cumyl trichloroacetamidate, synthesized as previously reported in the literature, (9) followed by a selective cleavage of the disulfide bridge with Bu3P and water (Scheme 3). With the building blocks 4 and 12 in hand, we focused our attention on the two key steps of our strategy: the thioether bridge formation and the installation of the quaternary stereocenter. Et3N-catalyzed thia-Michael addition of cysteine 12 to ?,?-unsaturated lactam 4 proved to be an excellent approach to install the thioether moiety. Indeed the reaction proceeded in high yield, affording straightforwardly a 3:1 mixture of diastereoisomers, which were easily separated by flash chromatography (FC) (Scheme 4).",NA,"(R)-cysteine, bis-Fmoc-l-cystine, carboxylic acid, cumyl trichloroacetamidate, disulfide, Bu3P, thioether, Et3N, cysteine"
"Lactam enolates derived from N-urethane-protected pyroglutamates are known to undergo monofunctionalization in the position 4 without loss of optical purity and in a stereocontrolled manner. (10) On the other hand, double substitutions are much less common and limited to double alkylations. (11) Moreover, to the best of our knowledge, no examples of direct azide incorporation into pyroglutamates have been reported until now.",NA,"Lactam enolates, N-urethane, pyroglutamates"
"The reaction was performed following the protocol developed by Evans et al. for the electrophilic azidation of imide enolates. (12) The mixture of diastereomers 13a,b was treated with 2.2 equiv of LiHMDS (an extra equivalent of base is needed to scavenge the acidic amide proton) in order to generate the pyroglutamic Li-enolate, which was reacted with 2,4,6-triisopropylbenzenesulfonyl azide (trisyl azide). The reaction produced in good yield a 1.8:1 epimeric mixture of ?,?-disubstituted pyroglutamates 3a and 3b, that can be easily separated by FC (Scheme 5).",NA,"imide enolates, LiHMDS, acidic amide proton, pyroglutamic Li-enolate, 2,4,6-triisopropylbenzenesulfonyl azide, trisyl azide, ?,?-disubstituted pyroglutamates"
